VK;Wort;Prozent;Worteinordnung;filtername;kommt von…;Anmerkung;Sprache;schon bearbeitet
20;MS;0.49 %;initialkurzwort;krieger-ms;mortal strike;klasse;e;x
20;RATING;0.49 %;entlehnung;;bewertung;;e;x
20;MOUNT;0.49 %;entlehnung;pferd;pferd;;e;x
20;PAAR;0.49 %;;;;unwichtig;;x
20;03.Jun;0.49 %;;;;unwichtig;;x
20;DEM;0.49 %;;;;unwichtig;;x
20;HORDE;0.49 %;mmo-wortschatz;;fraktion;;;x
20;IHR;0.49 %;;;;unwichtig;;x
20;JMD;0.49 %;mischkurzwort;;jemand;;;x
20;5S;0.49 %;numeral;;;;;x
19;DS;0.47 %;initialkurzwort;drachenseele;drachenseele;instanz;;x
19;SEIN;0.47 %;;;;unwichtig;;x
19;FL;0.47 %;initialkurzwort;feuerlande;feuerlande;instanz;;x
19;CA;0.47 %;;;;unwichtig;;x
19;UM;0.47 %;;;;unwichtig;;x
19;VERZAUBERKUNST;0.47 %;;verzauberer;;filter1;;x
19;MAN;0.47 %;;;;unwichtig;;x
19;PORT;0.47 %;kopfwort;;portal;;;x
19;2VS2;0.47 %;numeral;;;;;x
19;SONNENBRUNNENPLATEAU;0.47 %;;;;unwichtig;;x
19;INSCHRIFTENKUNDE;0.47 %;;;;unwichtig;;x
19;MACHEN;0.47 %;;;;unwichtig;;x
19;GIBT;0.47 %;;;;unwichtig;;x
19;RT1;0.47 %;;;;unwichtig;;x
19;^^;0.47 %;emoticon;;japanisch;;;x
19;SCHAMI;0.47 %;mischkurzwort;schamane;schamane;klasse;;x
18;WTS;0.44 %;initialkurzwort;verkaufe;want to sell;filter1;e;x
18;JUWE;0.44 %;kopfwort;juwelenschleifer;juwelenschleifer;filter1;;x
18;BILLIG;0.44 %;;;;unwichtig;;x
18;GUTEN;0.44 %;;;;unwichtig;;x
18;CLEAREXP;0.44 %;mischkurzwort;kompletterfahrung;kompletterfahrung;filter1;e;x
18;WIE;0.44 %;;;;unwichtig;;x
18;ANGST;0.44 %;;;;unwichtig;;x
18;REALM;0.44 %;entlehnung;;server;;e;x
18;JEMANDEN;0.44 %;;;;unwichtig;;x
18;HARMONIE;0.44 %;;;;unwichtig;;x
18;LOCK;0.44 %;entlehnung;gesperrt;gesperrt;filter1;e;x
18;INFO;0.44 %;;;;unwichtig;;x
18;DRUID;0.44 %;entlehnung;druide;druide;klasse;e;x
17;GC;0.42 %;initialkurzwort;gearcheck;gearcheck;;e;x
17;THE;0.42 %;;;;unwichtig;;x
17;ZüGEL;0.42 %;;;;unwichtig;;x
17;MAL;0.42 %;;;;unwichtig;;x
17;PLZ;0.42 %;mischkurzwort;bitte;please;filter1;e;x
17;475GS;0.42 %;;;;ersetzt;;x
17;MEMBER;0.42 %;entlehnung;;mitglieder;;e;x
17;DD'S;0.42 %;;schadensverursacher;damagedealer;filter1;e;x
17;01.Mär;0.42 %;;;;unwichtig;;x
17;MASSEN;0.42 %;;;;unwichtig;;x
17;WIN;0.42 %;entlehnung;sieg;sieg;filter1;e;x
17;CLEARXP;0.42 %;mischkurzwort;kompletterfahrung;kompletterfahrung;filter1;e;x
17;0/2;0.42 %;;;;unwichtig;;x
17;ERFAHRUNG;0.42 %;;erfahrung;;filter1;;x
17;3ON3;0.42 %;numeral;;;;;x
16;BT;0.39 %;initialkurzwort;;black temple;instanz;e;x
16;BIS;0.39 %;;;;unwichtig;;x
16;STACK;0.39 %;entlehnung;stapel;stapel;;e;x
16;UNS;0.39 %;;;;unwichtig;;x
16;HEUTE;0.39 %;;;;unwichtig;;x
16;WENN;0.39 %;;;;unwichtig;;x
16;WLFM;0.39 %;;;;ersetzt;;x
16;BEVORZUGT;0.39 %;;;;unwichtig;;x
16;STYLE;0.39 %;entlehnung;;nur fürs aussehen, ohne spielerische funktion;;e;x
16;OHNE;0.39 %;;;;unwichtig;;x
16;LUST;0.39 %;;;;unwichtig;;x
16;FRAGE;0.39 %;;;;unwichtig;;x
16;HERO;0.39 %;kopfwort;heroisch;;filter1;e;x
16;SPIELEN;0.39 %;;;;unwichtig;;x
16;EINER;0.39 %;;;;unwichtig;;x
16;BOSSE;0.39 %;;;;unwichtig;;x
16;HEALPALA;0.39 %;kopfwort;paladin-heilig;paladin mit heiligfertigkeitsbaum;klasse;e;x
16;PRIEST;0.39 %;entlehnung;;priester;klasse;e;x
15;PVE;0.37 %;initialkurzwort;;player vs environment;;e;x
15;AKTIVE;0.37 %;;;;unwichtig;;x
15;TO;0.37 %;;;;unwichtig;;x
15;PREIS;0.37 %;;;;unwichtig;;x
15;U;0.37 %;;;;unwichtig;;x
15;MATES;0.37 %;entlehnung;teamkollege;teamkollege;filter1;e;x
15;ARSENAL;0.37 %;;;;unwichtig;;x
15;SOWIE;0.37 %;;;;unwichtig;;x
15;85-89;0.37 %;;;;unwichtig;;x
15;M8;0.37 %;homophone abkürzung;teamkollege;teamkollege;filter1;e;x
15;CAP-GRP;0.37 %;;;;ersetzt;;x
15;KLASSE;0.37 %;;;;unwichtig;;x
15;FEUERLANDE;0.37 %;;feuerlande;feuerlande;instanz;;x
15;3VS3;0.37 %;numeral;;;;;x
14;16/16;0.34 %;;;;unwichtig;;x
14;EUCH;0.34 %;;;;unwichtig;;x
14;ALLIANZ;0.34 %;;;;unwichtig;;x
14;06.Jun;0.34 %;;;;unwichtig;;x
14;G;0.34 %;;;;unwichtig;;x
14;WE;0.34 %;;;;unwichtig;;x
14;FARMEN;0.34 %;entlehnung;;materialien sammeln;;e;x
14;UNSERE;0.34 %;;;;unwichtig;;x
14;ZUR;0.34 %;;;;unwichtig;;x
14;MAIN;0.34 %;entlehnung;;hauptcharakter;;e;x
14;=;0.34 %;;;;unwichtig;;x
14;GLüCKSBRINGERARMREIF;0.34 %;;;;unwichtig;;x
14;NETTE;0.34 %;;;;unwichtig;;x
14;SPEKTRALTIGERS;0.34 %;;;;unwichtig;;x
14;BRAIN;0.34 %;;;;unwichtig;;x
14;RETRI;0.34 %;kopfwort;paladin-vergeltung;paladin mit vergeltungsfertigkeitsbaum;klasse;e;x
14;RSHAMAN;0.34 %;mischkurzwort;schamane-wiederherstellung;schamane mit wiederherstellungfertigkeitsbaum;klasse;e;x
14;SHAMAN;0.34 %;entlehnung;schamane;schamane;klasse;e;x
14;PECHSCHWINGENABSTIEG;0.34 %;;pechschwingenabstieg;peschwingenabstieg;instanz;;x
13;TS;0.32 %;initialkurzwort;;teamspeak;;e;x
13;FüHRUNGSWECHSEL;0.32 %;;;;unwichtig;;x
13;SOLLTE;0.32 %;;;;unwichtig;;x
13;SO;0.32 %;;;;unwichtig;;x
13;HüBSCHER;0.32 %;;;;unwichtig;;x
13;MORE;0.32 %;;;;unwichtig;;x
13;FUN;0.32 %;;;;unwichtig;;x
13;04.Jun;0.32 %;;;;unwichtig;;x
13;SKILLED;0.32 %;entlehnung;;talentiert;;e;x
13;SET;0.32 %;;;;unwichtig;;x
13;W/M;0.32 %;;;;ersetzt;;x
13;XUEN;0.32 %;;;;unwichtig;;x
13;STUFE;0.32 %;;;;unwichtig;;x
13;NICHT;0.32 %;;;;unwichtig;;x
13;MEINEN;0.32 %;;;;unwichtig;;x
13;AMORY;0.32 %;entlehnung;;arsenal;;e;x
13;GEBE;0.32 %;;;;unwichtig;;x
13;PER;0.32 %;;;;unwichtig;;x
13;SKYPE;0.32 %;;;;unwichtig;;x
13;SPLITTER;0.32 %;;;;unwichtig;;x
13;CM;0.32 %;initialkurzwort;;challenge mode;;e;x
13;MUSS;0.32 %;;;;unwichtig;;x
13;SEHR;0.32 %;;;;unwichtig;;x
13;GOGO;0.32 %;;;;unwichtig;;x
13;SPECC;0.32 %;;spezialisierung;;filter1;e;x
13;GüNSTIG;0.32 %;;;;unwichtig;;x
13;HEXE;0.32 %;kopfwort;hexer;hexer;klasse;;x
13;HOLYPALA;0.32 %;kopfwort;paladin-heilig;paladin mit heiligfertigkeitsbaum;klasse;e;x
13;HPALLY;0.32 %;mischkurzwort;paladin-heilig;paladin mit heiligfertigkeitsbaum;klasse;e;x
13;PALADIN;0.32 %;;paladin;paladin;klasse;;x
13;RDRUID;0.32 %;partielles kurzwort;druide-wiederherstellung;druide mit wiederherstellungsfertigkeitsbaum;klasse;e;x
12;ERFOLGE;0.29 %;;erfolge;erfolge;filter1;;x
12;ROLLE;0.29 %;;;;unwichtig;;x
12;OR;0.29 %;;;;unwichtig;;x
12;QUEST;0.29 %;entlehnung;aufgabe;aufgabe;;e;x
12;EINFACH;0.29 %;;;;unwichtig;;x
12;GILDENSATZUNG;0.29 %;;;;unwichtig;;x
12;GEIST;0.29 %;;;;unwichtig;;x
12;JUNGTIER;0.29 %;;;;unwichtig;;x
12;PANDARISCHER;0.29 %;;;;unwichtig;;x
12;05.Jun;0.29 %;;;;unwichtig;;x
12;3N3;0.29 %;numeral;;;;;x
12;STAMMPLATZ;0.29 %;;;;unwichtig;;x
12;*TERRASSE*;0.29 %;;;;unwichtig;;x
12;WERDEN;0.29 %;;;;unwichtig;;x
12;SCHLANGEN;0.29 %;;;;unwichtig;;x
12;WIRD;0.29 %;;;;unwichtig;;x
12;02.Mär;0.29 %;;;;unwichtig;;x
12;WILL;0.29 %;;;;unwichtig;;x
12;JE;0.29 %;;;;unwichtig;;x
12;RBGS;0.29 %;;ratedbgs;rated battleground;filter1;e;x
11;2ER;0.27 %;numeral;;;;;x
11;BG;0.27 %;initialkurzwort;schlachtfeld;battleground;filter1;e;x
11;DRUIDE;0.27 %;;druide;druide;klasse;;x
11;SICH;0.27 %;;;;unwichtig;;x
11;ABER;0.27 %;;;;unwichtig;;x
11;RDD;0.27 %;initialkurzwort;distanzkämpfer;ranged damagedealer;filter1;e;x
11;HEROISCH;0.27 %;;heroisch;;filter1;e;x
11;FAST;0.27 %;entlehnung;;schnell;;e;x
11;1DD;0.27 %;;;;ersetzt;;x
11;FARM;0.27 %;entlehnung;;materialien sammeln;;e;x
11;SCHNELL;0.27 %;;;;unwichtig;;x
11;CONTENT;0.27 %;entlehnung;spielinhalt;spielinhalt;;e;x
11;100G;0.27 %;;;;unwichtig;;x
11;SENGENDER;0.27 %;;;;unwichtig;;x
11;SKILL;0.27 %;entlehnung;;fähigkeit;;e;x
11;MEINE;0.27 %;;;;unwichtig;;x
11;VOLL;0.27 %;;;;unwichtig;;x
11;ARMS;0.27 %;entlehnung;;waffen;;e;x
11;NEED;0.27 %;entlehnung;;brauche;;e;x
11;GöTZE;0.27 %;;;;unwichtig;;x
11;HANDSCHUHE;0.27 %;;;;unwichtig;;x
11;IS;0.27 %;;;;unwichtig;;x
11;ZUSAMMEN;0.27 %;;;;unwichtig;;x
11;SHADOWPRIEST;0.27 %;entlehnung;priester-schatten;priester mit schattenfertigkeitsbaum;klasse;e;x
11;SHAMI;0.27 %;mischkurzwort;schamane;schamane;klasse;e;x
11;VERSTäRKER;0.27 %;;;schamane mit verstärkerfertigkeitsbaum;klasse;;x
11;WARRIOR;0.27 %;entlehnung;krieger;krieger;klasse;e;x
10;TS3;0.25 %;initialkurzwort;;teamspeak 3;;e;x
10;1TANK;0.25 %;;;;ersetzt;;x
10;SCHLACHTZüGLERS;0.25 %;;;;unwichtig;;x
10;200G;0.25 %;;;;unwichtig;;x
10;RDY;0.25 %;mischkurzwort;;ready/fertig;;e;x
10;WEISHEIT;0.25 %;;;;unwichtig;;x
10;ON;0.25 %;;;;unwichtig;;x
10;GERN;0.25 %;;;;unwichtig;;x
10;SHARDS;0.25 %;entlehnung;;splitter;;e;x
10;GIBTS;0.25 %;;;;unwichtig;;x
10;BESTEN;0.25 %;;;;unwichtig;;x
10;TWINKRUN;0.25 %;entlehnung;;instanzen mit zweitcharakteren;;e;x
10;470GS;0.25 %;;;;ersetzt;;x
10;RIESIGE;0.25 %;;;;unwichtig;;x
10;BEIM;0.25 %;;;;unwichtig;;x
10;SACHEN;0.25 %;;;;unwichtig;;x
10;HYAZINTHARA;0.25 %;;;;unwichtig;;x
10;1HEAL;0.25 %;;;;ersetzt;;x
10;LEDERVERARBEITUNG;0.25 %;;;;unwichtig;;x
10;01.Jun;0.25 %;;;;unwichtig;;x
10;BILLIGER;0.25 %;;;;unwichtig;;x
10;09.Sep;0.25 %;;;;unwichtig;;x
10;JUST;0.25 %;entlehnung;;nur;;e;x
10;RAIDS;0.25 %;entlehnung;;schlachtzüge;;e;x
10;GEARED;0.25 %;entlehnung;;ausgerüstet;;e;x
10;ZEIT;0.25 %;;;;unwichtig;;x
10;50G;0.25 %;;;;unwichtig;;x
10;FIXEN;0.25 %;entlehnung;;reparieren;;e;x
10;FROSTMAGE;0.25 %;entlehnung;magier-frost;magier mit frostfertigkeitsbaum;klasse;e;x
10;WARLOCK;0.25 %;entlehnung;hexer;hexer;klasse;e;x
10;MOGU'SHANGEWöLBE;0.25 %;;mogu'shangewölbe;mogu'shangewölbe;instanz;;x
10;5VS5;0.25 %;numeral;;;;;x
9;CR;0.22 %;initialkurzwort;liverating;combat rating;;e;x
9;KFC;0.22 %;initialkurzwort;;kung fu cleave (arena-combi);;e;x
9;DESTRO;0.22 %;mischkurzwort;hexer-zerstörung;hexer mit zerstörungsfertigkeitsbaum;klasse;e;x
9;ANGEBOT;0.22 %;;;;unwichtig;;x
9;AUßER;0.22 %;;;;unwichtig;;x
9;EQUIP;0.22 %;kopfwort;ausrüstung;ausrüstung;filter1;e;x
9;WEISEN;0.22 %;;;;unwichtig;;x
9;HABE;0.22 %;;;;unwichtig;;x
9;RUNS;0.22 %;;run;;filter1;e;x
9;WEN;0.22 %;;;;unwichtig;;x
9;DALA;0.22 %;kopfwort;;dalaran;;;x
9;GEHT;0.22 %;;;;unwichtig;;x
9;MOP;0.22 %;initialkurzwort;;mists of pandaria;;e;x
9;EBEN;0.22 %;;;;unwichtig;;x
9;FUER;0.22 %;;;;unwichtig;;x
9;NATüRLICH;0.22 %;;;;unwichtig;;x
9;DUPE;0.22 %;entlehnung;;duplicate;;e;x
9;BG´S;0.22 %;;schlachtfeld;;filter1;e;x
9;LOWRBG;0.22 %;entlehnung;lowrbg;niedrig gewertetes schlachtfeld;filter1;e;x
9;100%;0.22 %;;;;unwichtig;;x
9;RUHM;0.22 %;;;;unwichtig;;x
9;SPAß;0.22 %;;;;unwichtig;;x
9;RELIKTE;0.22 %;;;;unwichtig;;x
9;TAUSCHE;0.22 %;;;;unwichtig;;x
